0.000000	0.999900	0.000100
0.020000	1.019300	0.000300
0.040000	1.039800	0.000400
0.060000	1.061800	0.000400
0.080000	1.084000	0.000400
0.100000	1.113400	0.000400
0.120000	1.134300	0.000500
0.140000	1.159900	0.000500
0.160000	1.185400	0.000600
0.180000	1.210500	0.000500
0.200000	1.241900	0.000500
0.220000	1.274500	0.000500
0.240000	1.311900	0.000700
0.260000	1.343600	0.001000
0.280000	1.381400	0.001000
0.300000	1.428200	0.001000
0.320000	1.460700	0.000900
0.340000	1.514800	0.002200
0.360000	1.564000	0.001400
0.380000	1.615100	0.001500
0.400000	1.635900	0.001100
0.420000	1.720000	0.001800
0.440000	1.778400	0.001400
0.460000	1.902900	0.002500
0.480000	1.854400	0.001200
0.500000	1.994100	0.001900
0.520000	2.095000	0.003200
0.540000	2.176400	0.001800
0.560000	2.258200	0.002000
0.580000	2.318500	0.002500
0.600000	2.433200	0.002800
0.620000	2.512600	0.002400
0.640000	2.707400	0.002800
0.660000	2.973600	0.003200
0.680000	2.974100	0.005100
0.700000	3.305400	0.003200
0.720000	3.192700	0.003500
0.740000	3.525300	0.007500
0.760000	3.738600	0.007600
0.780000	4.092800	0.005400
0.800000	4.442100	0.009700
0.820000	4.732900	0.010500
0.840000	6.760700	0.011300
0.860000	5.534000	0.018400
0.880000	6.971100	0.010300
0.900000	7.399700	0.011500
0.920000	7.483400	0.046400
0.940000	10.065100	0.018500
0.960000	10.133100	0.016900
0.980000	12.766900	0.054500
1.000000	23.249599	0.040800
1.020000	8.931900	0.106300
1.040000	10.003600	0.106800
1.060000	7.680300	0.157700
1.080000	17.318899	0.127900
1.100000	4.309900	0.228300
1.120000	4.177500	0.238100
1.140000	5.762500	0.255300
1.160000	2.859600	0.307400
1.180000	3.526400	0.310800
1.200000	2.977500	0.341900
1.220000	3.125000	0.350600
1.240000	2.446600	0.389800
1.260000	2.726000	0.386400
1.280000	2.587500	0.407700
1.300000	2.038600	0.422600
1.320000	1.874300	0.455300
1.340000	1.797700	0.462500
1.360000	1.900200	0.467600
1.380000	1.274600	0.515200
1.400000	1.401600	0.509400
1.420000	1.118200	0.545600
1.440000	1.238600	0.547200
1.460000	1.413800	0.550000
1.480000	1.133000	0.567400
